GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,2,5,0,0,1,2,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,6,54,3,3,3,16,3,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,16,106,4,4,2,22,5,7,1,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,10,52,3,3,4,16,3,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,14,54,3,3,4,16,3,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,6,54,3,3,3,16,3,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,6,54,3,3,3,16,3,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,42,0,0,0,13,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,42,0,0,0,13,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,RatingService,0,42,0,0,0,13,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,BidListService,4,38,0,0,1,12,1,6,1,6
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,42,0,0,0,13,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,UserService,23,67,1,1,6,19,3,7,2,7
spring-boot-skeleton,com.nnk.springboot.config,PasswordSecurityVerification,17,10,2,0,6,3,2,2,1,2
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,138,0,0,0,35,0,5,0,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,38,78,10,0,4,15,8,11,3,11
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,30,115,10,0,4,19,6,17,1,17
spring-boot-skeleton,com.nnk.springboot.domain,Trade,102,199,10,0,4,29,24,27,19,27
spring-boot-skeleton,com.nnk.springboot.domain,BidList,102,214,10,0,4,31,24,29,19,29
spring-boot-skeleton,com.nnk.springboot.domain,User,10,53,0,0,5,23,5,12,5,12
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,38,86,10,0,4,14,8,13,3,13
